year,month,births,deaths,rate,note
1841.0,January 1841,254.0,37.0,14.6,
,February 1841,239.0,18.0,7.5,
,March 1841,277.0,12.0,4.3,
,April 1841,255.0,4.0,1.6,
,May 1841,255.0,2.0,0.8,
,June 1841,200.0,10.0,5.0,
,July 1841,190.0,16.0,8.4,
,August 1841,222.0,3.0,1.4,
,September 1841,213.0,4.0,1.9,
,October 1841,236.0,26.0,11.0,
,November 1841,235.0,53.0,22.6,
,December 1841,,,,
1842.0,January 1842,307.0,64.0,20.8,
,February 1842,311.0,38.0,12.2,
,March 1842,264.0,27.0,10.2,
,April 1842,242.0,26.0,10.7,
,May 1842,310.0,10.0,3.2,
,June 1842,273.0,18.0,6.6,
,July 1842,231.0,48.0,20.8,
,August 1842,216.0,55.0,25.5,
,September 1842,223.0,41.0,18.4,
,October 1842,242.0,71.0,29.3,
,November 1842,209.0,48.0,23.0,
,December 1842,239.0,75.0,31.4,
1843.0,January 1843,272.0,52.0,19.1,
,February 1843,263.0,42.0,16.0,
,Mar 1843,266.0,33.0,12.4,
,April 1843,285.0,34.0,11.9,
,May 1843,246.0,15.0,6.1,
,June 1843,196.0,8.0,4.1,
,July 1843,191.0,1.0,0.5,
,August 1843,193.0,3.0,1.6,
,September 1843,221.0,5.0,2.3,
,October 1843,250.0,44.0,17.6,
,November 1843,252.0,18.0,7.1,
,December 1843,236.0,19.0,8.1,
1844.0,January 1844,244.0,37.0,15.2,
,February 1844,257.0,29.0,11.3,
,March 1844,276.0,47.0,17.0,
,April 1844,208.0,36.0,17.3,
,May 1844,240.0,14.0,5.8,
,June 1844,224.0,6.0,2.7,
,July 1844,206.0,9.0,4.4,
,August 1844,269.0,17.0,6.3,
,September 1844,245.0,3.0,1.2,
,October 1844,248.0,8.0,3.2,
,November 1844,245.0,27.0,11.0,
,December 1844,256.0,27.0,10.5,
1845.0,January 1845,303.0,23.0,7.6,
,February 1845,274.0,13.0,4.7,
,March 1845,292.0,13.0,4.5,
,April 1845,260.0,11.0,4.2,
,May 1845,296.0,13.0,4.4,
,June 1845,280.0,20.0,7.1,
,July 1845,245.0,15.0,6.1,
,August 1845,251.0,9.0,3.6,
,September 1845,237.0,25.0,10.5,
,October 1845,283.0,42.0,14.8,
,November 1845,265.0,29.0,10.9,
,December 1845,267.0,28.0,10.5,
1846.0,January 1846,336.0,45.0,13.4,
,February 1846,293.0,53.0,18.1,
,March 1846,311.0,48.0,15.4,
,April 1846,253.0,48.0,19.0,
,May 1846,305.0,41.0,13.4,
,June 1846,266.0,27.0,10.2,
,July 1846,252.0,33.0,13.1,
,August 1846,216.0,39.0,18.1,
,September 1846,271.0,39.0,14.4,
,October 1846,254.0,38.0,15.0,
,November 1846,297.0,32.0,10.8,
,December 1846,298.0,16.0,5.4,
1847.0,January 1847,311.0,10.0,3.2,
,February 1847,312.0,6.0,1.9,
,March 1847,305.0,11.0,3.6,
,April 1847,312.0,57.0,18.3,
,May 1847,294.0,36.0,12.2,
,June 1847,268.0,6.0,2.2,
,July 1847,250.0,3.0,1.2,
,August 1847,264.0,5.0,1.9,
,September 1847,262.0,12.0,4.6,
,October 1847,278.0,11.0,4.0,
,November 1847,246.0,11.0,4.5,
,December 1847,273.0,8.0,2.9,
1848.0,January 1848,283.0,10.0,3.5,
,February 1848,291.0,2.0,0.7,
,March 1848,276.0,0.0,0.0,
,April 1848,305.0,2.0,0.7,
,May 1848,313.0,3.0,1.0,
,June 1848,264.0,3.0,1.1,
,July 1848,269.0,1.0,0.4,
,August 1848,261.0,0.0,0.0,
,September 1848,312.0,3.0,1.0,
,October 1848,299.0,7.0,2.3,
,November 1848,310.0,9.0,2.9,
,December 1848,373.0,5.0,1.3,
1849.0,January 1849,403.0,9.0,2.2,
,February 1849,389.0,12.0,3.1,
,March 1849,406.0,20.0,4.9,
